Date,ImportOffPeak,ImportStandard,ImportPeak,ImportTotal,ExportOffPeak,ExportStandard,ExportPeak,ExportTotal
2026-08-13,0.001,0.038,0.0,0.039,0.106,19.055,17.6,36.761
2026-08-14,0.011,0.018,0.0,0.029,0.088,16.147,17.649,33.884
2026-08-15,0.554,0.028,0.0,0.582,0.056,11.26,17.629,28.945
2026-08-16,0.011,0.026,0.0,0.037,0.059,12.792,17.688,30.539
2026-08-17,0.008,0.036,0.0,0.044,0.079,0.758,17.678,18.515
2026-08-18,0.001,0.038,0.0,0.039,0.106,0.805,17.634,18.545
2026-08-19,0.001,0.017,0.0,0.018,0.193,0.961,17.685,18.839
2026-08-20,0.009,0.018,0.0,0.027,0.152,1.104,17.704,18.96
2026-08-21,0.004,0.029,0.0,0.033,0.111,5.587,17.685,23.383
2026-08-22,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02
