Date,OffPeak,Peak,Standard,TotalkWh,ExportkWh
2026-07-05,0.0,0.0,0.089,0.089,18.342
2026-07-06,0.011000000000000001,0.0,0.052000000000000005,0.063,18.945999999999998
2026-07-07,0.006,0.0,0.059,0.065,21.07
2026-07-08,0.005,0.0,0.034,0.039,20.997
2026-07-09,0.0,0.0,0.069,0.069,21.915
2026-07-10,0.006,0.0,0.52,0.526,19.981
2026-07-11,0.005,0.0,0.049,0.054,26.63
2026-07-12,0.001,0.0,0.063,0.064,25.095
2026-07-13,0.012,0.0,0.07300000000000001,0.085,18.701999999999998
2026-07-14,0.005,0.0,0.223,0.228,19.993
2026-07-15,0.011,0.0,0.047,0.057999999999999996,19.037
2026-07-16,0.003,0.0,0.057,0.060000000000000005,18.808
2026-07-17,0.008,0.0,0.065,0.07300000000000001,18.863
2026-07-18,0.006,0.0,0.084,0.09000000000000001,18.552
2026-07-19,1.81,0.0,0.186,1.996,18.493
2026-07-20,13.673,0.0,0.15800000000000003,13.831,34.254
2026-07-21,20.787,0.0,0.025,20.811999999999998,39.009
2026-07-22,0.007,0.0,0.029,0.036000000000000004,18.68
2026-07-23,0.007,0.0,0.027,0.034,25.174
2026-07-24,0.005,0.0,0.014,0.019,44.247
2026-07-25,0.001,0.0,0.039,0.04,37.733
2026-07-26,0.013,0.0,0.024,0.037,18.474
2026-07-27,0.011,0.0,0.025,0.036000000000000004,24.786
2026-07-28,0.001,0.0,0.031,0.032,30.676
2026-07-29,0.0,0.0,0.044,0.044,39.377
2026-07-30,0.011000000000000001,0.0,0.028,0.039,18.49
2026-07-31,0.019999999999999997,0.0,0.023,0.043,33.78
2026-08-01,0.009999999999999998,0.0,0.018000000000000002,0.028,30.102
2026-08-02,0.003,0.0,0.025,0.028,37.043
2026-08-03,0.0,0.0,0.051000000000000004,0.051000000000000004,40.727
2026-08-04,0.002,0.0,0.033,0.035,23.308
2026-08-05,0.008,0.0,0.019,0.027,36.199
2026-08-06,0.0,0.0,0.028999999999999998,0.028999999999999998,22.685000000000002
2026-08-07,0.001,0.0,0.027999999999999997,0.028999999999999998,33.691
2026-08-08,0.002,0.0,0.032,0.034,39.402
2026-08-09,0.001,0.0,0.031,0.032,40.823
2026-08-10,0.022000000000000002,0.0,0.021,0.043000000000000003,37.903
2026-08-11,0.01,0.0,0.021,0.031,42.149
2026-08-12,0.002,0.0,0.03,0.032,42.292
2026-08-13,0.001,0.0,0.038,0.039,36.760999999999996
2026-08-14,0.011,0.0,0.018000000000000002,0.029,33.884
2026-08-15,0.554,0.0,0.027999999999999997,0.5820000000000001,28.945
2026-08-16,0.0,0.0,0.002,0.002,0.021
